job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,country,remote_work,company_size,industry,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_remote_friendly,is_llm_role,salary_tier
AIJOB0001,AI Agent Developer,AI Engineering,Senior (6-9 yrs),7,Master's,239000,USA,On-site,Startup (1-50),Finance,13.1,96,16.9,6.8,2026,3,0,1,Senior ($200-300k)
AIJOB0002,Prompt Engineer,AI Engineering,Senior (6-9 yrs),2,Bachelor's,166000,UK,Hybrid,Enterprise (5000+),Finance,5.4,82,11.6,6.2,2026,1,1,1,Upper-Mid ($150-200k)
AIJOB0003,LLM Engineer,AI Engineering,Senior (6-9 yrs),4,Associate's,360000,USA,Fully Remote,Big Tech (FAANG+),Finance,9.1,98,42.7,7.7,2026,1,1,1,Elite (>$300k)
AIJOB0004,Data Engineer (AI),Data Engineering,Senior (6-9 yrs),3,Bachelor's,161000,Singapore,Fully Remote,SME (51-500),Technology,12,88,6.7,9.5,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0005,AI Product Manager,Product,Lead (10+ yrs),5,Bootcamp/Self-taught,283000,USA,Fully Remote,Enterprise (5000+),Automotive,9.4,85,17.3,8.9,2026,1,1,0,Senior ($200-300k)
AIJOB0006,AI Agent Developer,AI Engineering,Entry (0-2 yrs),5,Bootcamp/Self-taught,155000,USA,On-site,Enterprise (5000+),Government,8,96,67.7,8.7,2026,1,0,1,Upper-Mid ($150-200k)
AIJOB0007,AI Security Engineer,Security,Mid (3-5 yrs),5,Master's,197000,USA,Fully Remote,Mid-size (501-5000),Manufacturing,16.3,80,12.7,6.2,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0008,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),7,Master's,221000,Global,Fully Remote,Startup (1-50),Education,12.5,96,33.1,6.2,2025,9,1,0,Senior ($200-300k)
AIJOB0009,NLP Engineer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,145000,India,Hybrid,SME (51-500),Automotive,8.1,91,79.4,8.2,2025,8,1,0,Mid ($100-150k)
AIJOB0010,Prompt Engineer,AI Engineering,Entry (0-2 yrs),4,Bootcamp/Self-taught,90000,USA,On-site,Startup (1-50),Automotive,6.1,82,15.5,7.1,2025,2,0,1,Entry (<$100k)
AIJOB0011,AI Solutions Architect,Architecture,Entry (0-2 yrs),7,Associate's,180000,Japan,On-site,Startup (1-50),Technology,8,84,14.8,9.5,2026,2,0,0,Upper-Mid ($150-200k)
AIJOB0012,Prompt Engineer,AI Engineering,Mid (3-5 yrs),1,Master's,118000,Japan,Hybrid,Enterprise (5000+),Education,9,82,8.9,9.7,2025,3,1,1,Mid ($100-150k)
AIJOB0013,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),8,Bootcamp/Self-taught,180000,China,On-site,Startup (1-50),Retail,15.2,96,32.4,7.5,2026,2,0,0,Upper-Mid ($150-200k)
AIJOB0014,AI Solutions Architect,Architecture,Entry (0-2 yrs),15,Bootcamp/Self-taught,180000,Canada,Fully Remote,Startup (1-50),Finance,11.7,84,8.9,9.2,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0015,AI Agent Developer,AI Engineering,Senior (6-9 yrs),3,Bachelor's,209000,UAE,Hybrid,Startup (1-50),Consulting,10.6,96,50.7,9.4,2026,1,1,1,Senior ($200-300k)
AIJOB0016,AI Agent Developer,AI Engineering,Entry (0-2 yrs),3,Bachelor's,155000,Netherlands,Fully Remote,Mid-size (501-5000),Research,13.5,96,75.9,8.2,2025,3,1,1,Upper-Mid ($150-200k)
AIJOB0017,ML Engineer,AI Engineering,Entry (0-2 yrs),6,PhD,120000,France,Fully Remote,Mid-size (501-5000),Healthcare,8.2,97,68.8,7.3,2026,3,1,0,Mid ($100-150k)
AIJOB0018,Generative AI Engineer,AI Engineering,Mid (3-5 yrs),2,Bachelor's,162000,UK,On-site,Mid-size (501-5000),Consulting,11.3,95,78.1,9.7,2025,11,0,1,Upper-Mid ($150-200k)
AIJOB0019,AI Security Engineer,Security,Senior (6-9 yrs),7,Bachelor's,228000,Australia,Hybrid,Big Tech (FAANG+),Government,15.9,80,15.9,9.7,2025,10,1,0,Senior ($200-300k)
AIJOB0020,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bachelor's,185000,Germany,Hybrid,Startup (1-50),Consulting,5.8,89,12.4,6.5,2026,2,1,0,Upper-Mid ($150-200k)
AIJOB0021,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),3,Bootcamp/Self-taught,329000,USA,On-site,Big Tech (FAANG+),Consulting,12.7,90,27.5,9,2025,2,0,0,Elite (>$300k)
AIJOB0022,MLOps Engineer,ML Operations,Senior (6-9 yrs),9,Bachelor's,272000,UAE,On-site,Big Tech (FAANG+),Technology,12.8,93,77,6.3,2026,3,0,0,Senior ($200-300k)
AIJOB0023,AI Business Analyst,Business,Lead (10+ yrs),7,Bootcamp/Self-taught,201000,USA,On-site,Enterprise (5000+),Media,16.5,78,16.4,9,2026,3,0,0,Senior ($200-300k)
AIJOB0024,RAG Engineer,AI Engineering,Lead (10+ yrs),3,Associate's,230000,Canada,Fully Remote,Enterprise (5000+),Finance,4.6,94,39.5,9.4,2025,3,1,1,Senior ($200-300k)
AIJOB0025,NLP Engineer,AI Engineering,Mid (3-5 yrs),8,Bachelor's,145000,Australia,Hybrid,SME (51-500),Manufacturing,5.7,91,80.1,9.2,2026,3,1,0,Mid ($100-150k)
AIJOB0026,Robotics Engineer (AI),Robotics,Lead (10+ yrs),10,Master's,125000,China,Hybrid,SME (51-500),Energy,17.1,76,19.8,8.5,2025,7,1,0,Mid ($100-150k)
AIJOB0027,Senior Data Scientist,Data Science,Entry (0-2 yrs),8,PhD,157000,Switzerland,Fully Remote,SME (51-500),Technology,3.4,90,28.8,6.9,2025,11,1,0,Upper-Mid ($150-200k)
